,Adal-1_RunId0094_LaneId7,Adal-2_RunId0094_LaneId7,Adal-3_RunId0094_LaneId7,Adal-4_RunId0094_LaneId7,Adal-5_RunId0094_LaneId7,Adal-6_RunId0094_LaneId7,Adal-7_RunId0094_LaneId7,Adal-8_RunId0094_LaneId7,Adal-9_RunId0094_LaneId7,Control_1_RunId0094_LaneId7,Control_2_RunId0094_LaneId7,Tj2-10_RunId0094_LaneId7,Tj2-1_RunId0094_LaneId7,Tj2-2_1_RunId0094_LaneId7,Tj2-2_2_RunId0094_LaneId7,Tj2-3_RunId0094_LaneId7,Tj2-4_RunId0094_LaneId7,Tj2-5_RunId0094_LaneId7,Tj2-6_RunId0094_LaneId7,Tj2-7_RunId0094_LaneId7,Tj2-8_RunId0094_LaneId7,Tj2-9_RunId0094_LaneId7,Tjor-10_RunId0094_LaneId7,Tjor-2_RunId0094_LaneId7,Tjor-3_RunId0094_LaneId7,Tjor-4_RunId0094_LaneId7,Tjor-5_RunId0094_LaneId7,Tjor-6_RunId0094_LaneId7,Tjor-7_RunId0094_LaneId7,Tjor-9_RunId0094_LaneId7,ULL-10_RunId0094_LaneId7,ULL-1_RunId0094_LaneId7,ULL-2_RunId0094_LaneId7,ULL-3_RunId0094_LaneId7,ULL-4_RunId0094_LaneId7,ULL-5_RunId0094_LaneId7,ULL-6_RunId0094_LaneId7,ULL-7_RunId0094_LaneId7,ULL-8_RunId0094_LaneId7,ULL-9_RunId0094_LaneId7,Var-10_RunId0094_LaneId7,Var-1_RunId0094_LaneId7,Var-2_RunId0094_LaneId7,Var-3_RunId0094_LaneId7,Var-4_RunId0094_LaneId7,Var-5_RunId0094_LaneId7,Var-6_RunId0094_LaneId7,Var-7_RunId0094_LaneId7,Var-8_RunId0094_LaneId7,Var-9_RunId0094_LaneId7
Fervidobacteriaceae,6.676532032751892e-05,0.0006224015658925813,0.0,0.0005770574930593081,0.0,0.000381968429785845,0.00013187706972844665,0.0,0.0013443827175882472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703366616985165e-05,0.0,0.0,3.216304196109421e-05,0.0,2.567160806174924e-05,0.00029840120784403176,0.0002485442857254332,0.0,0.0,0.00020014973511805077,4.095070852813084e-05,0.0,8.816611928193579e-05,3.436829680037594e-05,0.00012656662431304733,0.00010748129641641043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54383137475384e-05,0.0,0.00015424080807227187,0.0,1.706944961246715e-05,9.958282638845153e-05,8.868164958838287e-05,0.0,0.0,3.873031766089614e-05
Bifidobacteriaceae,0.0016023602952860891,0.00037111971841379356,0.0009216756539879428,0.006623585883806633,0.0,0.0034590521820240644,0.0011696868742223714,0.0,0.0,0.0,0.0,0.001191139447631013,0.00021298514617715687,9.926473289035705e-05,0.0002631576625803525,0.00022883291546984264,0.0002666126752354993,0.0045825920415981086,0.0007839819174628336,0.0005705417643024906,0.0002411204875722018,0.0003750269788690945,0.0027430543485566544,0.0019883451124676366,0.0,0.004811852586023232,0.0034460404104985055,0.00017092390789871047,0.0007599678975145045,0.0008969902926429693,0.00046621126657551835,0.0010565512937229476,0.0021309236978217334,0.007568153583714725,0.0020204591094546945,0.0,0.0,0.0014328974219304578,0.00030059400487314323,0.00014895688048642466,0.0005689640863274796,0.0,0.0022532466268001482,0.0011045507169127956,0.0010152564930104428,0.0008312962807088153,0.007217881831633977,0.000375428352432887,0.002511674271257031,0.0003502551698820494
Microcoleaceae,8.949274688202768e-05,0.00031781783900277304,2.818930215756532e-05,7.734922847580262e-05,0.0,0.00024685396538782936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083990540671715e-06,0.0,6.998818043923707e-06,1.1416028317797031e-05,0.0,1.9182369035618562e-05,1.4370529286064372e-05,1.407884189213575e-05,5.7350700210196e-06,0.0002253851414799274,0.00043494670124129823,0.0019576306832820964,0.0,0.0002682822383770061,9.148440575061974e-06,1.4791315854764179e-05,7.878569450690099e-05,3.838960695006602e-06,2.827514548420338e-05,8.804201582761864e-05,1.742253065284358e-05,3.089770901888703e-05,0.0,0.0,0.0,2.8602371659442708e-05,0.0,4.8217142228635684e-05,0.0,4.594345796416514e-05,0.00011823877326520041,6.101338942993789e-05,0.00023359277100905822,9.905796877732569e-05,1.854851813471754e-05,5.121277002200411e-05,0.0002451514019030912
Odoribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.094081912538459e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rikenellaceae,9.145848737989278e-05,0.0001826993377063246,8.642547107278796e-05,0.0004742893932437323,0.0,0.00040177321038178384,0.00031614070301777325,0.0,0.0,0.0,0.0,0.0,9.320082075261682e-05,2.171877885201274e-05,0.0,2.1457648827837362e-05,3.500035650513989e-05,0.0,0.00010291951266212252,8.811709890307388e-05,1.4388088737658253e-05,1.7583128714274357e-05,0.00026277747051787294,0.00034046843942115665,0.0,0.0,0.00020563136595749387,8.414450437918466e-05,0.0,9.058078207509325e-05,9.415883646678221e-05,0.0002600659733750872,0.0004089813204275773,0.0007478193588297759,0.00023682291265150952,0.0,0.0,0.0009405389402166012,2.192297481016995e-05,9.777374455871704e-05,0.00010892644552740126,0.0,0.00028171573564123644,0.00014500311673406962,0.0001987520061552175,0.00013641355460925264,0.0006074028769666647,6.634580061461501e-05,0.0003925325775496542,7.073964450669656e-05
Methylococcaceae,0.00034307770754146043,0.0001142231697048039,5.403298869661387e-05,0.0008895736328406827,0.0,0.0005082167879540021,0.00014117884148092292,0.0,0.0,0.0,0.0,0.0,3.884594693154757e-05,4.0735578909140374e-05,0.0,0.0,4.376427097115673e-05,0.00037611452584093485,0.00020222721297438298,8.263588528776891e-05,8.995397149446941e-06,5.496464082153168e-05,0.0004624397850437333,0.0006385800543674264,0.0,0.0,0.0008999215155176916,7.014257868761105e-05,0.0,0.00023596199482827195,0.0001618866409311265,0.0005419753237605609,0.0005011604364707366,0.0009684649339851402,0.0005034077182583342,0.0,0.0,0.0008820338951230219,7.538404008397362e-05,6.112790094157999e-05,0.00022375892285060356,0.0,0.00041830393928093653,0.00027196675945915746,0.0001754248347289348,0.00019189218081475728,0.0005696201428475216,0.00014221449897696821,0.0004908207745360221,0.00011056562274371873
Sporomusaceae,6.550552154369201e-05,0.0003925654932088144,0.0,0.00011323379220863276,0.0,0.00022084133000672656,6.469433674427456e-05,0.0,0.0,0.0,0.0,0.0,1.112557282653854e-05,0.0,0.0,0.0,8.356128456987061e-06,0.0,2.1061222253768622e-05,0.0,2.0610427392317325e-05,0.0,0.00010456094920666584,0.0002844969036893546,0.0,0.0,0.0,4.017800718336809e-05,3.248015821866754e-05,3.24384403331439e-05,0.0,0.0,5.858512526006678e-05,3.825802638050464e-05,0.0001696202162440743,0.0,0.0,0.0,3.140388475406007e-05,7.002871263325269e-05,1.6717850817782238e-05,0.0,0.00017655216731709829,5.192795693018611e-05,2.5121047735037137e-05,0.0,4.350415514480491e-05,3.39421460567915e-05,0.0,2.5333008668615264e-05
Methylocystaceae,0.0007097223409372345,0.00027567474038252856,0.00016766647197979882,0.0015335453826191637,0.0,0.0008096559914685655,0.0006133168343341897,0.0,0.0,0.0,0.0,0.0010112010197172872,6.0270244436203446e-05,2.8089797915860112e-05,4.7872282042371525e-05,0.0001526363719096355,0.00018106965366910174,0.0011670980474943885,0.0003803145039962781,0.00027066806357823036,8.373920490906094e-05,6.822296994843504e-05,0.0005853161781062938,0.0002568661436439976,0.0,0.004084954327885926,0.0010194810502323947,1.813792985206181e-05,2.9325637215672126e-05,0.0005369461356029752,0.00012939075099544693,0.0007287672488921464,0.0006717696908731448,0.0025906762707304304,0.0008882494098911292,0.0,0.0,0.0,0.00016303488487483752,6.32274204927679e-05,0.00037232331439343813,0.003588782068724742,0.0010247474553041235,0.00060950028039999,0.0003099771438223987,0.00039696594905963756,0.001963948362815584,0.0002267776962822648,0.0014215002782106705,0.0002344444513526324
Thermodesulfobacteriaceae,0.00644071726519741,0.06004183746390214,0.00012549032305753444,0.0009182282096874117,0.0,0.01018875076260839,6.557689609140469e-05,0.0,0.0,0.003942774717042561,0.0,0.0,0.0,0.0,0.0,9.346991980613936e-05,1.6940245317493438e-05,0.0,0.0,3.198664430456643e-05,0.0,0.0,0.0002826329823767145,0.0003295748650909631,0.0,0.00458608896783587,0.00019905201730043302,0.0,6.584650427617052e-05,0.0002630477211014383,1.708990223059725e-05,0.0,0.00016627615989369765,0.00015511976762563252,0.00013754733852030596,0.0,0.0,0.0,6.366459232819012e-05,0.0,0.00012427004724396962,0.0,0.00020452650264547357,0.00010527271496144117,3.39516650128532e-05,4.951833303553641e-05,8.819527658973021e-05,0.0,0.00022798390037504846,5.135720252334015e-05
Hyphomonadaceae,0.00035934149633012164,0.00010634487319422211,0.0,0.0015183982223635484,0.0,0.0007586934104092456,0.0005520536099807681,0.0,0.0,0.0023708513490247178,0.0,0.0,6.781243427703562e-05,0.0001137777909188131,0.0,1.873496893002299e-05,0.00024447434923544233,0.0005252592577376662,0.0002567441285307877,0.0002115746971788755,5.0249754318420185e-05,0.00013816864816729014,0.0008157675776709871,0.0008918030608181501,0.0,0.0,0.0015560096908753904,9.795696865172915e-05,0.00011878356083871243,0.0005404300832261685,0.00012331706678439058,0.0011353359284679628,0.0005927647978487707,0.0020520700795841483,0.0005376107074782416,0.0,0.0,0.0004105987558053145,0.00010527688302184945,8.536760393352878e-05,0.00021059004333408155,0.0012113641670771886,0.0004611935465894901,0.00031651054928778625,0.0002858192496497263,0.00020843297061814503,0.0028107586638305973,0.0002234343841302186,0.001987808500354867,0.00023161409468493786
