,Adal-1_RunId0094_LaneId7,Adal-2_RunId0094_LaneId7,Adal-3_RunId0094_LaneId7,Adal-4_RunId0094_LaneId7,Adal-5_RunId0094_LaneId7,Adal-6_RunId0094_LaneId7,Adal-7_RunId0094_LaneId7,Adal-8_RunId0094_LaneId7,Adal-9_RunId0094_LaneId7,Control_1_RunId0094_LaneId7,Control_2_RunId0094_LaneId7,Tj2-10_RunId0094_LaneId7,Tj2-1_RunId0094_LaneId7,Tj2-2_1_RunId0094_LaneId7,Tj2-2_2_RunId0094_LaneId7,Tj2-3_RunId0094_LaneId7,Tj2-4_RunId0094_LaneId7,Tj2-5_RunId0094_LaneId7,Tj2-6_RunId0094_LaneId7,Tj2-7_RunId0094_LaneId7,Tj2-8_RunId0094_LaneId7,Tj2-9_RunId0094_LaneId7,Tjor-10_RunId0094_LaneId7,Tjor-2_RunId0094_LaneId7,Tjor-3_RunId0094_LaneId7,Tjor-4_RunId0094_LaneId7,Tjor-5_RunId0094_LaneId7,Tjor-6_RunId0094_LaneId7,Tjor-7_RunId0094_LaneId7,Tjor-9_RunId0094_LaneId7,ULL-10_RunId0094_LaneId7,ULL-1_RunId0094_LaneId7,ULL-2_RunId0094_LaneId7,ULL-3_RunId0094_LaneId7,ULL-4_RunId0094_LaneId7,ULL-5_RunId0094_LaneId7,ULL-6_RunId0094_LaneId7,ULL-7_RunId0094_LaneId7,ULL-8_RunId0094_LaneId7,ULL-9_RunId0094_LaneId7,Var-10_RunId0094_LaneId7,Var-1_RunId0094_LaneId7,Var-2_RunId0094_LaneId7,Var-3_RunId0094_LaneId7,Var-4_RunId0094_LaneId7,Var-5_RunId0094_LaneId7,Var-6_RunId0094_LaneId7,Var-7_RunId0094_LaneId7,Var-8_RunId0094_LaneId7,Var-9_RunId0094_LaneId7
Syncephalastraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.815674307854039e-06,0.0,0.0,0.0
Cuniculitremaceae,7.559557041840535e-06,0.0,1.4287100020119437e-05,7.840535799970356e-05,0.0,2.9347320189523707e-05,2.2397830780242617e-05,0.0,0.0,0.0,0.0,0.00025849765797341344,2.5678568897210205e-06,3.590357818382338e-06,4.079265661492153e-06,0.0,3.85730107819429e-06,0.0,4.861071471419404e-06,1.0925058809780941e-05,2.3785124956987555e-06,0.0,4.665784663895311e-05,7.035406615844908e-05,0.0,0.0005221272062117259,0.00012464163021484045,0.0,0.0,3.4939378948531644e-05,1.945689010543554e-06,2.866121547516397e-05,1.2169656150903386e-05,4.415104649441803e-05,0.0,0.0,0.0005439309380809218,0.0,0.0,3.232619389891482e-05,2.572394792495173e-06,0.0,1.746403943068219e-05,0.0,9.663510740701287e-06,1.1275345535351486e-05,5.020525516385306e-05,1.566815029891212e-05,0.0,1.0232299788718767e-05
Lichinaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.859378172490597e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7632102462400556e-12,0.0,0.0,0.0,0.0,0.0
Bondarzewiaceae,1.062655249064706e-05,2.1227817753845164e-05,1.004176682989612e-05,5.510763710891776e-05,0.0,3.5825712552421875e-05,0.0,0.0,0.0,0.0,0.0,0.00018168650067458233,1.804832338459768e-06,2.523502740046511e-06,0.0,4.98632413737067e-06,1.355562639212564e-06,6.989904613712944e-05,1.7083154100801772e-06,2.5595792245272717e-06,1.6717505897044551e-06,0.0,6.332581212065956e-05,0.00010878723318149732,0.0,0.0,9.556915128037295e-05,0.0,0.0,1.5786857998754646e-05,2.7350764451645983e-06,4.0289385873649236e-05,2.4710139307312724e-05,6.206361172925309e-05,1.100657220286575e-05,0.0,0.0,5.4640562642339354e-05,1.2736141239890106e-06,0.0,5.424065485150763e-06,0.0,1.2274696168156052e-05,2.5271846420577988e-05,4.0752310047385464e-06,0.0,2.1172223836085494e-05,1.2113690175715602e-05,6.385164923198177e-05,0.0
Serendipitaceae,4.182367656373565e-06,0.0,0.0,0.0,0.0,8.545563553564403e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.901281841612737e-07,1.0379675922521963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graphidaceae,1.4719393024043953e-11,0.0,5.5637503416142715e-11,5.088831145356457e-11,0.0,9.022557476397892e-12,2.907423211137001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.090813810999293e-12,9.262516320206412e-12,0.0,3.1327103834312202e-12,1.8265076377608683e-11,0.0,0.0,2.2062970718996036e-11,3.611273460423617e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.5245778181032e-11,0.0,0.0,0.0,3.528298922621928e-12,0.0,0.0,0.0,1.1334881957802523e-11,0.0,0.0,0.0,0.0,9.152348250023727e-12,0.0,0.0
Tulasnellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4718483441467123e-06,0.0,0.0,0.0,0.0,5.072506861504866e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hysterangiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5269787197309964e-11,0.0
Leptosphaeriaceae,0.00022754437854582095,0.00012736107542359333,3.739521264340423e-05,0.003847857110591361,0.0,0.00020079448721306605,0.0005080775135977066,0.0,6.640319926327945e-05,0.00019581974577334042,0.0,0.00011276576858523972,2.6884547401144438e-05,1.096368235758967e-05,8.897595653049403e-06,1.2379272464999355e-05,4.879802084306585e-05,8.676725713537002e-05,3.074826960266759e-05,1.9063579348182733e-05,4.1503631680044515e-06,1.1411997453612937e-05,0.0001986249498391873,0.00028849462626907293,0.0,0.0,0.0004152124747853974,9.506603073005533e-05,0.00012427129947956914,9.03620155480064e-05,1.3580447477747877e-05,0.00010002424059026312,8.730079229729053e-05,0.0002580872035474692,3.074108732357944e-05,0.0,0.0,6.782655859864145e-05,3.95241459985722e-06,1.4101822542707663e-05,2.1882296822392523e-05,0.00010005225478753383,8.126323338501765e-05,2.0913674008827437e-05,5.0586758477431645e-05,5.902442669660858e-05,0.0007227428271053197,7.586847932493971e-05,0.00043027121745445557,2.1680775098658992e-05
Sphaerophoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
