,avrB_RI-1,avrB_RI-2,avrB_RI-3,avrB_RI-4,avrB_RI-5,avrB_RI-6,avrB_RII-1,avrB_RII-2,avrB_RII-3,avrB_RII-4,avrB_RII-5,avrB_RII-6,avrB_RIII-1,avrB_RIII-2,avrB_RIII-3,avrB_RIII-4,avrB_RIII-5,avrB_RIII-6,avrB_RIV-1_,avrB_RIV-2,avrB_RIV-3,avrB_RIV-4,avrB_RIV-5,avrB_RIV-6,avrB_RV-1,avrB_RV-2,avrB_RV-3,avrB_RV-4,avrB_RV-5,avrB_RV-6,avrB_RVI-1,avrB_RVI-2_,avrB_RVI-3,avrB_RVI-4,avrB_RVI-5,avrB_RVI-6,control_1,control_2,control_3,control_4,control_6,C_RI-1,C_RI-2,C_RI-3,C_RI-4,C_RI-5,C_RI-6,C_RII-1,C_RII-2,C_RII-3,C_RII-4,C_RII-5,C_RII-6,C_RIII-1,C_RIII-2,C_RIII-3,C_RIII-4,C_RIII-5,C_RIII-6,C_RIV-1,C_RIV-2,C_RIV-3,C_RIV-4,C_RIV-5,C_RIV-6,C_RV-1,C_RV-2,C_RV-3,C_RV-4,C_RV-5,C_RV-6,C_RVI-1_,C_RVI-2_,C_RVI-3_,C_RVI-4,C_RVI-5_,C_RVI-6,EV_RI-1,EV_RI-2,EV_RI-3,EV_RI-4,EV_RI-5,EV_RI-6,EV_RII-1,EV_RII-2,EV_RII-3,EV_RII-4,EV_RII-5,EV_RII-6,EV_RIII-1,EV_RIII-2,EV_RIII-3,EV_RIII-4,EV_RIII-5,EV_RIII-6,EV_RIV-1,EV_RIV-2,EV_RIV-4,EV_RIV-5,EV_RIV-6,EV_RV-1,EV_RV-2,EV_RV-3,EV_RV-4,EV_RV-5,EV_RV-6,EV_RVI-1,EV_RVI-2,EV_RVI-3,EV_RVI-4,EV_RVI-5,EV_RVI-6
Peronosporaceae,2.13219534515268e-05,1.367619272673501e-05,3.714618141512433e-06,5.859809961767642e-05,0.0,0.0,3.215205660040042e-06,0.0,0.0,0.0,1.335146288810762e-05,0.0,0.0,0.0,0.0,9.916359850503433e-06,6.241990000213065e-06,0.0,2.2624997628171654e-05,0.0,2.6508148357339117e-05,0.0,0.0,0.0,4.0781850390876045e-05,7.065890044277852e-06,0.0,0.00012648997112083934,0.0,0.0,4.367201447601096e-05,0.0,9.630908273865631e-06,5.492412970903828e-05,1.8623255994220625e-06,4.855865446472215e-05,0.0,0.0018965881141537694,0.0,0.00015344271295178634,0.0,0.0,1.979203170048209e-06,2.2333718701692585e-05,0.0,4.214842010081517e-06,0.0,0.0,8.953187690552287e-05,3.4922578819137258e-06,0.0,0.0,6.992632721587409e-06,5.515748305254473e-05,0.0,0.0,0.0,0.0,0.0,3.455399552649329e-05,0.0,1.5093648341642332e-05,0.0,2.8532389956713253e-05,4.566680248760082e-05,2.538988604307782e-05,0.0,5.497412900659486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.508400101363476e-06,0.0,3.650997043187809e-06,8.23925341500762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010381814087997472,0.0,0.0,0.0,0.0,0.0,0.0,0.0003706895623761902,2.1134015206479706e-05,1.912117992362599e-05,5.28712896651252e-05,3.045487894085408e-05,1.845946662991276e-05,7.398103408435025e-05,0.0,0.0,0.0,0.0,7.37271222421927e-05,0.0,3.1797829561035656e-05,0.0,0.0
Albuginaceae,0.0,8.95844538034239e-06,9.732885283055682e-06,7.676813062024464e-05,1.1301480493163672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046899672061609e-05,1.3082716430665467e-05,0.0,3.180783295885775e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.185824402961689e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.409731631245602e-06,0.0,0.0,0.0,6.516723978520291e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404088678122899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.537445243059928e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.8786462656781515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saprolegniaceae,0.0,4.5575368168118865e-05,0.00020425048337433153,0.00031732323302679014,3.593460642812602e-05,0.0,5.357272474162019e-06,3.656731708737581e-05,4.1233158265094026e-05,0.0,2.224660944997337e-05,3.253738384377493e-05,4.3823574073297434e-05,0.0,0.0001137376704559575,0.0,1.0400591672173021e-05,0.0,7.539690448285379e-06,0.0,0.0,5.195440786494611e-05,8.580790367116046e-05,0.0002741010837725003,3.397597349055936e-05,0.00010596058858416658,1.1361584613437887e-05,2.3417933137916698e-05,5.3244282696034774e-05,3.3558457864943537e-05,0.0002328564012698335,1.3801031134563532e-05,0.0004011827333318782,0.00024127008352051751,1.2412251938604567e-05,2.0227473018239274e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.308465538244605e-05,3.7213114524302345e-05,0.0,4.9160276603547504e-05,5.388707305860547e-06,0.0,0.0,2.9094526138677483e-05,3.958103811139318e-05,2.4155817132253905e-05,3.883778391625325e-06,1.8381011788700064e-05,3.44019665685724e-06,2.7801424456172792e-05,1.0265122585711704e-05,6.448301563391666e-05,4.5585797836232835e-05,6.397211966427423e-06,0.0,3.772423695955174e-05,0.0,2.377076359949756e-05,4.565484074448363e-05,0.0010576348140899114,9.54596201746631e-05,9.159954891171552e-06,1.331605641450316e-05,2.5338525281324683e-05,0.0,0.0003587056717606145,6.57030228697349e-05,0.0001302820433007477,0.0002318999044603782,0.0,8.977803432406576e-05,0.0,1.2166802395137221e-05,1.716061513438149e-05,4.257935337071431e-05,4.86747209775107e-05,1.2701279710016778e-05,0.00010256863455765505,0.0,1.6927347264638414e-05,1.773664584628807e-05,4.067748051133623e-05,2.7907564358543553e-05,4.3246228022629545e-05,1.9834978787279105e-05,0.0,2.5563815984261418e-05,6.897612058307843e-05,1.4601931826105277e-05,0.00018625838296797766,0.0,0.0,0.0,0.0,0.00022835176301998664,3.0757719076331916e-05,0.00012326942641211814,0.0003046904707175096,9.307394738162232e-05,8.622669368692019e-05,0.0004586829032101438,8.18975672372921e-05,2.614134169949076e-05,2.6491250491781933e-05,2.974890429159171e-05,0.000237687811046184
Pythiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5598320190807342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
