,avrB_RI-1,avrB_RI-2,avrB_RI-3,avrB_RI-4,avrB_RI-5,avrB_RI-6,avrB_RII-1,avrB_RII-2,avrB_RII-3,avrB_RII-4,avrB_RII-5,avrB_RII-6,avrB_RIII-1,avrB_RIII-2,avrB_RIII-3,avrB_RIII-4,avrB_RIII-5,avrB_RIII-6,avrB_RIV-1_,avrB_RIV-2,avrB_RIV-3,avrB_RIV-4,avrB_RIV-5,avrB_RIV-6,avrB_RV-1,avrB_RV-2,avrB_RV-3,avrB_RV-4,avrB_RV-5,avrB_RV-6,avrB_RVI-1,avrB_RVI-2_,avrB_RVI-3,avrB_RVI-4,avrB_RVI-5,avrB_RVI-6,control_1,control_2,control_3,control_4,control_6,C_RI-1,C_RI-2,C_RI-3,C_RI-4,C_RI-5,C_RI-6,C_RII-1,C_RII-2,C_RII-3,C_RII-4,C_RII-5,C_RII-6,C_RIII-1,C_RIII-2,C_RIII-3,C_RIII-4,C_RIII-5,C_RIII-6,C_RIV-1,C_RIV-2,C_RIV-3,C_RIV-4,C_RIV-5,C_RIV-6,C_RV-1,C_RV-2,C_RV-3,C_RV-4,C_RV-5,C_RV-6,C_RVI-1_,C_RVI-2_,C_RVI-3_,C_RVI-4,C_RVI-5_,C_RVI-6,EV_RI-1,EV_RI-2,EV_RI-3,EV_RI-4,EV_RI-5,EV_RI-6,EV_RII-1,EV_RII-2,EV_RII-3,EV_RII-4,EV_RII-5,EV_RII-6,EV_RIII-1,EV_RIII-2,EV_RIII-3,EV_RIII-4,EV_RIII-5,EV_RIII-6,EV_RIV-1,EV_RIV-2,EV_RIV-4,EV_RIV-5,EV_RIV-6,EV_RV-1,EV_RV-2,EV_RV-3,EV_RV-4,EV_RV-5,EV_RV-6,EV_RVI-1,EV_RVI-2,EV_RVI-3,EV_RVI-4,EV_RVI-5,EV_RVI-6
Dipodascaceae,0.0,0.0,2.496368330035136e-05,0.0,1.4493470931358893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4601636838189746e-05,1.7643733612557743e-05,0.0,0.0,1.575676688739931e-05,0.0,0.0,0.0,0.0,0.0,6.909558230894675e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.9349297745679162e-05,0.0,3.236173071959764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4162691438567503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.357307664912276e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.531497048487191e-05,0.0,0.0,0.0,5.109881756224558e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.065002645318216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718864188384682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthrodermataceae,0.0,3.8159897949239316e-05,2.7639163819505105e-05,0.0,1.6046807378758307e-05,0.0,0.0,0.0,4.603226625156093e-05,0.0,1.2417940954362768e-05,0.0,0.0,0.0,0.0,7.378413714676847e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.386336360467395e-05,0.0,0.0,5.2574796392096944e-05,2.536790825495201e-05,5.2287070824666786e-05,0.0,0.0,0.0,0.0,0.0001074902889225182,1.8575958316328244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4726552922818966e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7978200919545673e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.25300136447673e-06,1.42835609444717e-05,0.0,0.0,0.0,0.0,0.0,0.00037783437918464995,0.0,2.045215550513131e-05,5.946362394579162e-05,0.0,0.0,0.0,0.0,4.1555859807645035e-05,8.629687525753999e-05,0.0,8.254009458299572e-05,0.0,0.0,3.831586219167407e-05,2.112673083345783e-05,0.0,0.0,0.0,0.0,3.77950265758858e-05,0.0,0.0,3.115571270883146e-05,0.0,2.2143562682246376e-05,0.0,7.610447082275324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020409195117496311,6.927118702880731e-05,0.0,0.0,0.0,0.0,2.9574554734188986e-05,0.0,0.0
Diaporthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleurotaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pichiaceae,0.0,0.0,0.0,0.0005660607604500924,3.333323133172695e-05,0.0,0.0,0.0,4.7810263545571994e-05,2.4641989323167463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496938896283537e-05,0.0,0.0,0.0,0.0,0.0003178229756022367,0.0,5.4605499056343054e-05,5.269548853584935e-05,0.0,0.0,0.0,0.000202499512190086,6.400974007394504e-05,0.0003721403456357099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4519185774126936e-05,0.0,3.257247847927183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.058299873098998e-05,0.0007848564807422726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001726438232181524,0.0,0.0,2.4493773584961955e-05,0.0,0.0,3.97958132095579e-05,2.194275127546495e-05,0.0,5.89090485281597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3862174922048826e-05,0.0,0.0,0.0,0.0,0.0,0.0005883915022894373,0.0,0.0005717285807683615,0.0,0.0,0.0,0.00021273898395398653,0.0,0.0,0.00012286749023889934,0.0,0.0
Tremellaceae,0.0,0.0,2.4518034599242418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732875978147097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178401295706606e-05,1.647828391944369e-05,0.0,4.0063430644245476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.964066664438322e-05,0.0
Blastocladiaceae,0.0,5.168667193790778e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5712291049486664e-05,0.0,0.0,0.0,0.0,0.0,2.1246477230392393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.838257435153076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7643768176686367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ganodermataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.034838058696198e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995013987272449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017905610787600492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venturiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.383704700937833e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordycipitaceae,0.0,3.4954917854535416e-05,0.00015190680575152436,0.0,0.0001469906535122772,0.0,3.287091721438992e-05,2.4929793172192993e-05,4.216610032924604e-05,0.0,2.2749961572728707e-05,0.0,2.987675128320404e-05,2.9617531250579692e-05,3.578803098842291e-05,0.0,0.0,1.5980281555663762e-05,3.084113439479064e-05,0.0,2.2584018004154885e-05,3.541995272341191e-05,5.8499596400524564e-05,0.00028030289905031517,0.0002779577150556576,7.223870297881552e-05,6.97119119951091e-05,0.00014368672588918203,2.7224494321846987e-05,0.0,0.00032742189388689316,5.6453173897153774e-05,0.0004923118799275773,0.0004083791405607602,6.346545869591361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.744848327193532e-05,3.0444079214253265e-05,0.0,2.8727187295674034e-05,0.0,0.0,3.3901349757281025e-05,4.7604510925233565e-05,4.0476599279895344e-05,3.293648935597215e-05,0.0,0.0,0.0,1.4215229953744887e-05,2.099476280998589e-05,5.2753607458759036e-05,0.00011018616295658263,3.9251732288310117e-05,1.642672656033108e-05,0.00011573335835110927,0.0,4.8617202514303604e-05,3.112521857564216e-05,0.00112482747044838,0.00019523898197650635,5.620324901662638e-05,8.170407425314794e-05,0.0,3.252072318133407e-05,0.0004890956689722192,3.359481023074224e-05,0.0001522626363291706,0.00015809791681010152,0.0,0.0002484253094436553,7.041684809151505e-05,3.732626595186891e-05,0.00012284224030840933,7.74093412724255e-05,7.466405392865287e-05,1.2988659057333627e-05,0.0001798103212088116,0.0,5.193103704158648e-05,1.813795546415882e-05,1.1885099943487314e-05,5.70780026658021e-05,0.0,4.056753063618229e-05,2.041045916554496e-05,5.228444654472515e-05,3.526838766666114e-05,0.00013439083821319446,0.0,0.0,7.202177586893982e-05,0.0,6.005932674506548e-05,0.0003632509276242429,6.290728738910578e-05,0.0002521170446466712,0.0004985350430851033,0.00038071935970568604,0.0,0.0012195587807870805,0.0,0.0,5.4181283854227126e-05,6.084400690239164e-05,0.0
